Id,Gr Liv Area,Garage Area,Exter Qual_TA,Year Built,Exter Qual_Gd,Year Remod/Add,Full Bath,Kitchen Qual_TA,Total Bsmt SF,Foundation_PConc,1st Flr SF,Overall Qual_8,Bsmt Qual_TA,Fireplaces,Kitchen Qual_Gd,BsmtFin Type 1_GLQ,Garage Finish_Unf,TotRms AbvGrd,Garage Type_Attchd,Bsmt Qual_Gd,Bsmt Qual_Ex,Garage Type_Detchd,Mas Vnr Type_None,Garage Finish_Fin,Overall Qual_5,Overall Cond_5,Exterior 1st_VinylSd,Exterior 2nd_VinylSd,BsmtFin SF 1,Mas Vnr Area,Garage Cars,Heating QC_TA,Foundation_CBlock,Open Porch SF,Paved Drive_Y,Lot Shape_Reg,Neighborhood_NridgHt,MS Zoning_RM,Central Air_Y,Overall Qual_4,Garage Cond_TA,Overall Qual_9,Garage Qual_TA,Wood Deck SF,Garage Yr Blt,Overall Qual_7,Electrical_SBrkr,Neighborhood_NoRidge,Mas Vnr Type_BrkFace,Garage Finish_RFn,Half Bath,2nd Flr SF,Lot Area,Sale Type_New,Bsmt Exposure_Gd,Neighborhood_Somerst,Neighborhood_OldTown,House Style_2Story,MS Zoning_RL,Mas Vnr Type_Stone,Bsmt Exposure_No,Neighborhood_IDOTRR
1018,1688,528.0,0,1988,1,1988,2,0,1675.0,0,1688,0,0,1,0,1,0,6,1,1,0,0,0,0,0,0,0,0,983.0,102.0,2.0,0,1,48,1,0,0,0,1,0,1,0,1,0,1988.0,1,1,0,1,1,0,0,12680,0,0,0,0,0,1,0,0,0
220,1392,528.0,1,1957,0,1996,1,1,1392.0,0,1392,0,0,1,0,0,1,5,0,1,0,1,0,0,1,0,0,0,1302.0,180.0,2.0,1,1,0,1,0,0,0,1,0,1,0,1,0,1957.0,0,1,0,1,0,1,0,11341,0,0,0,0,0,1,0,1,0
1086,1515,393.0,0,2004,1,2004,2,0,789.0,1,813,0,0,1,1,0,0,8,1,1,0,0,1,1,0,1,1,1,0.0,0.0,2.0,0,0,75,1,0,0,0,1,0,1,0,1,0,2004.0,0,1,0,0,0,1,702,9024,0,0,0,0,1,1,0,1,0
658,1039,281.0,0,1900,1,2003,1,1,405.0,0,717,0,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,1,1,0,1,0,1940.0,0,1,0,0,0,0,322,8146,0,0,0,1,1,1,0,1,0
1784,1528,480.0,0,2007,1,2007,3,0,1528.0,1,1528,0,0,1,1,0,1,6,1,1,0,0,0,0,0,1,1,1,0.0,50.0,2.0,0,0,228,1,1,0,0,1,0,1,0,1,0,2007.0,1,1,0,0,0,2,0,9965,1,0,1,0,0,1,0,1,0
2868,1811,470.0,1,1956,0,2004,1,0,1073.0,1,1811,0,1,1,0,0,0,6,1,0,0,0,1,1,0,0,0,0,296.0,0.0,2.0,0,0,0,1,0,0,0,1,0,1,0,1,0,1956.0,0,1,0,0,0,0,0,14115,0,0,0,0,0,1,0,1,0
1271,1256,311.0,1,1959,0,1959,1,0,1256.0,1,1256,0,1,0,1,0,0,6,1,0,0,0,1,0,1,0,0,0,476.0,0.0,1.0,0,0,240,1,1,0,0,1,0,1,0,1,0,1959.0,0,0,0,0,1,1,0,8000,0,0,0,0,0,1,0,1,0
1110,1987,691.0,0,1994,1,1994,2,0,1986.0,1,1987,1,0,1,1,1,0,7,1,1,0,0,0,1,0,1,0,0,1314.0,554.0,2.0,0,0,36,1,0,0,0,1,0,1,0,1,262,1994.0,0,1,1,1,0,0,0,14303,0,1,0,0,0,1,0,0,0
2590,884,270.0,1,1951,0,1991,1,1,884.0,0,884,0,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,0,741.0,0.0,1.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1951.0,0,1,0,0,0,0,0,15428,0,0,0,0,0,1,0,1,0
518,1436,529.0,0,2008,1,2009,2,0,1436.0,1,1436,0,0,0,1,0,0,6,1,0,1,0,0,1,0,1,1,1,0.0,50.0,2.0,0,0,121,1,0,0,0,1,0,1,0,1,0,2008.0,1,1,0,0,0,0,0,7993,1,0,1,0,0,0,0,1,0
91,1923,564.0,0,1992,1,1992,2,0,750.0,1,1061,0,0,1,1,1,0,8,1,1,0,0,1,0,0,1,0,0,674.0,0.0,2.0,0,0,39,1,0,0,0,1,0,1,0,1,240,1992.0,1,1,1,0,1,1,862,10186,0,0,0,0,1,1,0,1,0
482,1342,393.0,0,2003,1,2003,2,0,698.0,1,698,0,0,1,1,1,0,7,1,1,0,0,1,1,0,1,1,1,494.0,0.0,2.0,0,0,56,1,0,0,0,1,0,1,0,1,100,2003.0,1,1,0,0,0,1,644,8174,0,0,0,0,1,1,0,1,0
865,1788,522.0,0,2001,1,2001,2,0,1753.0,1,1788,1,0,1,0,0,0,7,1,1,0,0,1,0,0,1,1,1,0.0,0.0,2.0,0,0,151,1,1,0,0,1,0,1,0,1,202,2001.0,0,1,0,0,1,0,0,11838,0,0,0,0,0,1,0,0,0
306,1178,384.0,1,1900,0,1950,1,1,859.0,0,859,0,1,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,1,1,0,1,68,1964.0,0,1,0,0,1,0,319,8712,0,0,0,0,0,0,0,0,1
1522,2601,621.0,1,1921,0,1998,3,1,612.0,0,990,0,1,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0.0,0.0,2.0,0,0,0,1,1,0,0,1,0,1,0,1,183,1998.0,0,1,0,0,1,1,1611,9842,0,0,0,0,1,1,0,1,0
2668,1248,0.0,1,1920,0,1950,2,1,624.0,1,624,0,1,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,130,0,1,0,1,0,0,0,0,0,0,50.0,0,0,0,0,0,0,624,5976,0,0,0,1,1,0,0,1,0
1562,1646,482.0,0,2004,1,2005,2,0,1594.0,1,1646,0,0,1,0,1,0,5,1,0,1,0,0,1,0,1,0,0,1474.0,174.0,2.0,0,0,53,1,0,0,1,1,0,1,0,1,128,2004.0,1,1,0,0,0,0,0,3811,0,1,0,0,0,0,1,0,0
1398,904,912.0,1,1970,0,1970,1,0,864.0,1,904,0,0,0,1,0,1,5,0,1,0,0,1,0,1,0,0,0,704.0,0.0,3.0,0,0,0,1,1,0,0,1,0,1,0,1,143,1979.0,0,1,0,0,0,0,0,10200,0,0,0,0,0,1,0,0,0
910,3082,672.0,1,1920,0,1970,2,1,824.0,0,1687,0,1,2,0,1,0,12,0,0,0,0,1,1,0,0,0,0,523.0,0.0,2.0,0,0,63,1,1,0,0,1,0,1,0,1,136,1970.0,1,1,0,0,0,1,998,15863,0,0,0,0,0,1,0,1,0
672,1105,308.0,1,1957,0,1957,1,1,1105.0,0,1105,0,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,546.0,143.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,1957.0,0,0,0,0,0,0,0,10454,0,0,0,0,0,1,1,1,0
115,1714,496.0,1,1988,0,1988,2,1,980.0,0,980,0,0,1,0,1,1,7,1,1,0,0,0,0,0,1,0,0,394.0,42.0,2.0,1,1,66,1,1,0,0,1,0,1,0,1,228,1988.0,1,1,0,1,0,1,734,10421,0,0,0,0,1,1,0,1,0
2245,1001,216.0,0,1930,1,2007,1,0,837.0,0,1001,0,1,0,1,0,1,5,0,0,0,1,1,0,1,0,0,0,737.0,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,154,1930.0,0,1,0,0,0,0,0,6060,0,0,0,0,0,0,0,1,1
1537,1873,786.0,1,1935,0,1950,1,1,608.0,1,983,1,1,2,0,0,0,9,0,0,0,1,0,1,0,0,0,0,210.0,40.0,2.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1935.0,0,1,0,0,0,1,890,9670,0,0,0,0,1,1,1,1,0
149,1337,263.0,1,1956,0,1956,1,1,832.0,0,832,0,1,0,0,0,1,5,1,0,0,0,1,0,0,1,0,0,0.0,0.0,1.0,1,1,0,1,1,0,0,1,1,1,0,1,0,1956.0,0,0,0,0,0,0,505,8382,0,0,0,0,0,1,0,1,0
815,1513,400.0,1,1979,0,1979,2,1,0.0,0,1513,0,0,0,0,0,1,8,1,0,0,0,1,0,1,1,0,0,0.0,0.0,2.0,1,0,0,1,1,0,0,1,0,1,0,1,0,1979.0,0,1,0,0,0,0,0,7007,0,0,0,0,0,1,0,0,0
2028,2526,216.0,1,1916,0,1950,2,0,714.0,0,1664,0,1,1,1,0,1,10,0,0,0,1,1,0,0,0,0,0,168.0,0.0,1.0,1,0,15,1,1,0,1,0,0,1,0,1,88,1916.0,0,1,0,0,0,0,862,8520,0,0,0,1,0,0,0,1,0
2377,1055,319.0,1,1976,0,1976,2,1,1055.0,0,1055,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,120.0,0.0,1.0,1,1,29,1,1,0,0,1,0,1,0,1,0,1976.0,1,1,0,0,0,0,0,2280,0,0,0,0,0,1,0,1,0
1389,1228,271.0,1,1966,0,2006,1,0,1228.0,0,1228,0,1,0,1,0,1,6,1,0,0,0,1,0,1,0,0,0,0.0,0.0,1.0,0,1,65,1,0,0,0,1,0,1,0,1,0,1966.0,0,1,0,0,0,1,0,8544,0,0,0,0,0,1,0,1,0
473,1220,397.0,0,2005,1,2006,2,0,1220.0,1,1220,0,0,1,1,1,0,5,1,1,0,0,0,1,0,1,1,1,16.0,16.0,2.0,0,0,16,1,1,0,0,1,0,1,0,1,100,2005.0,1,1,0,1,0,0,0,3182,0,0,0,0,0,1,0,0,0
166,1116,440.0,1,1962,0,1962,1,1,1116.0,0,1116,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.0,261.0,2.0,1,1,0,1,0,0,0,1,0,1,0,1,0,1962.0,0,1,0,1,0,1,0,10000,0,0,0,0,0,1,0,1,0
2319,2064,527.0,0,2005,1,2005,2,0,1074.0,1,1074,1,0,1,1,0,0,7,1,1,0,0,0,1,0,1,1,1,0.0,216.0,2.0,0,0,119,1,0,0,0,1,0,1,0,1,0,2005.0,0,1,0,1,0,1,990,13128,0,0,0,0,1,1,0,1,0
900,1678,0.0,1,1959,0,1959,2,1,1678.0,0,1678,0,1,0,0,0,0,10,0,0,0,0,0,0,1,1,1,1,0.0,74.0,0.0,1,1,0,1,1,0,0,1,0,0,0,0,0,50.0,0,1,0,1,0,0,0,10926,0,0,0,0,0,1,0,1,0
2526,2156,508.0,1,1968,0,2003,2,1,1568.0,0,2156,0,1,1,0,0,0,9,1,0,0,0,1,0,0,0,0,0,297.0,0.0,2.0,1,1,80,1,0,0,0,1,0,1,0,0,0,1968.0,1,1,0,0,1,0,0,20781,0,0,0,0,0,1,0,1,0
1203,999,588.0,0,1961,0,2007,1,0,944.0,0,999,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,867.0,210.0,2.0,0,1,76,1,0,0,0,1,0,1,0,1,144,1961.0,1,1,0,0,1,0,0,12122,0,0,0,0,0,1,1,0,0
1953,1651,276.0,1,1963,0,1999,2,1,725.0,0,1035,0,1,2,0,0,1,6,0,0,0,0,0,0,0,1,0,0,242.0,364.0,1.0,1,1,46,1,0,0,0,1,0,1,0,1,460,1963.0,1,1,0,1,0,0,616,10090,0,0,0,0,0,1,0,0,0
620,1050,338.0,1,1956,0,1956,1,1,1050.0,0,1050,0,1,0,0,0,1,5,1,0,0,0,1,0,1,0,0,0,504.0,0.0,1.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1956.0,0,1,0,0,0,0,0,9600,0,0,0,0,0,1,0,1,0
1998,2454,576.0,1,1879,0,1987,2,1,819.0,1,1312,0,1,1,0,0,1,8,1,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0,1,0,148,0,1,0,1,1,0,1,0,1,0,1950.0,1,0,0,0,0,0,1142,13500,0,0,0,1,0,0,0,1,0
1423,2037,472.0,0,1996,1,1996,2,0,672.0,1,1302,0,0,1,1,0,0,8,1,1,0,0,1,1,0,1,1,1,0.0,0.0,2.0,0,0,33,1,0,0,0,1,0,1,0,1,100,1996.0,1,1,0,0,0,1,735,10541,0,0,0,0,0,1,0,0,0
1794,1338,598.0,0,2007,1,2007,2,0,1338.0,1,1338,1,0,0,1,1,0,6,1,1,0,0,1,0,0,1,1,1,24.0,0.0,2.0,0,0,141,1,1,0,0,1,0,1,0,1,0,2007.0,0,1,0,0,1,0,0,8640,1,0,1,0,0,0,0,1,0
1222,1077,205.0,1,1939,0,1950,1,1,991.0,0,1077,0,1,2,0,1,0,5,1,0,0,0,1,0,1,0,0,0,851.0,0.0,1.0,0,0,4,1,1,0,0,1,0,1,0,0,0,1939.0,0,1,0,0,1,0,0,7420,0,0,0,0,0,1,0,1,0
1360,768,440.0,0,1930,1,1950,1,1,768.0,0,768,0,1,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0.0,0.0,2.0,1,0,0,0,0,0,1,1,0,1,0,1,0,1930.0,0,1,0,0,0,0,0,6291,0,0,0,0,0,0,0,1,1
789,1689,480.0,1,1956,0,1956,1,1,1436.0,0,1689,0,1,1,0,0,1,7,1,0,0,0,1,0,0,1,0,0,0.0,0.0,2.0,0,1,0,1,1,0,0,1,0,1,0,1,0,1956.0,0,1,0,0,0,0,0,9855,0,0,0,0,0,1,0,1,0
2021,986,180.0,1,1926,0,1950,1,1,960.0,0,986,0,1,1,0,0,1,5,0,0,0,1,1,0,0,1,0,0,0.0,0.0,1.0,1,0,128,1,1,0,1,0,0,1,0,1,0,1926.0,0,1,0,0,0,0,0,6180,0,0,0,0,0,0,0,1,0
1197,1728,576.0,1,1965,0,1965,2,1,1728.0,0,1728,0,1,0,0,0,1,10,0,0,0,1,0,0,1,1,0,0,231.0,108.0,2.0,1,1,0,1,0,0,0,1,0,1,0,1,0,1987.0,0,1,0,1,0,0,0,13101,0,0,0,0,0,1,0,1,0
1338,1497,672.0,1,1937,0,2000,2,1,825.0,0,825,0,1,0,0,0,1,5,0,0,0,1,1,0,0,0,0,0,201.0,0.0,1.0,0,0,0,1,1,0,1,1,0,1,0,1,272,2004.0,0,1,0,0,0,0,672,6000,0,0,0,0,0,0,0,1,0
2850,1479,312.0,1,1926,0,1997,1,0,624.0,0,743,0,1,2,1,0,1,6,0,0,0,1,1,0,0,0,0,0,424.0,0.0,1.0,0,0,0,1,1,0,0,1,0,1,0,1,530,1926.0,1,1,0,0,0,0,736,7000,0,0,0,0,1,1,0,1,0
799,1510,296.0,1,1940,0,1950,1,1,755.0,0,755,0,1,1,0,0,1,7,0,0,0,1,1,0,0,1,0,0,0.0,0.0,1.0,1,1,0,0,1,0,0,1,1,0,0,0,120,1940.0,0,1,0,0,0,0,755,9084,0,0,0,0,1,1,0,0,0
2689,1635,255.0,1,1910,0,2003,1,0,485.0,0,1001,0,1,0,1,0,1,5,1,0,0,0,1,0,0,0,1,1,0.0,0.0,1.0,0,1,0,1,1,0,1,1,0,1,0,0,394,1950.0,0,1,0,0,0,0,634,5310,0,0,0,1,0,0,0,1,0
1816,1266,283.0,1,1980,0,1980,1,1,630.0,0,630,0,1,2,0,0,0,5,1,0,0,0,1,0,0,1,0,0,0.0,0.0,1.0,0,1,0,1,1,0,0,1,0,1,0,1,340,1980.0,0,1,0,0,1,1,636,8012,0,0,0,0,1,1,0,1,0
108,1226,484.0,0,1978,1,1978,1,0,1226.0,0,1226,1,0,1,1,1,0,4,1,1,0,0,1,1,0,0,0,0,1052.0,0.0,2.0,1,1,78,1,0,0,0,1,0,1,0,1,223,1978.0,0,1,0,0,0,0,0,3880,0,1,0,0,0,1,0,0,0
1892,1042,440.0,1,1965,0,1965,2,1,1042.0,0,1042,0,1,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,494.0,98.0,2.0,1,1,0,1,1,0,0,1,0,1,0,1,192,1965.0,0,1,0,1,1,0,0,9200,0,1,0,0,0,1,0,0,0
486,2054,390.0,0,2000,1,2000,2,0,992.0,1,1022,0,0,1,1,1,0,7,0,1,0,0,0,0,0,1,1,1,695.0,40.0,2.0,0,0,48,1,0,0,0,1,0,1,0,1,24,2000.0,0,1,0,1,1,1,1032,12224,0,0,0,0,1,1,0,1,0
2186,948,248.0,1,1954,0,1954,1,1,864.0,1,948,0,1,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,492.0,132.0,1.0,0,0,0,1,1,0,0,1,1,1,0,1,0,1954.0,0,1,0,1,0,0,0,10215,0,0,0,0,0,1,0,1,0
844,1501,577.0,0,1999,1,1999,2,0,1490.0,1,1501,0,0,0,1,1,0,6,1,1,0,0,0,0,0,1,1,1,679.0,183.0,2.0,0,0,29,1,0,0,0,1,0,1,0,1,144,1999.0,1,1,0,1,1,0,0,10335,0,1,0,0,0,1,0,0,0
2208,1250,552.0,1,1910,0,2003,2,1,661.0,1,661,0,1,1,0,0,1,8,0,0,0,1,1,0,1,0,0,0,0.0,0.0,2.0,0,0,0,1,1,0,0,1,0,1,0,1,242,1985.0,0,1,0,0,0,0,589,5362,0,0,0,0,0,1,0,1,0
661,2377,528.0,1,1915,0,1950,2,0,1313.0,0,1313,0,1,1,1,0,1,8,0,0,0,1,1,0,0,1,0,0,0.0,0.0,2.0,1,0,0,1,1,0,0,1,1,1,0,1,0,1954.0,0,1,0,0,0,0,0,10410,0,0,0,1,0,1,0,1,0
491,2312,658.0,0,1999,1,1999,2,0,1177.0,1,1223,0,0,1,1,0,0,8,0,1,0,0,0,1,0,1,1,1,913.0,210.0,3.0,0,0,0,1,0,0,0,1,0,1,0,1,298,1999.0,1,1,0,1,0,1,1089,15896,0,0,0,0,1,1,0,1,0
1100,2630,696.0,0,1998,1,1998,2,0,1470.0,1,1470,1,0,1,1,1,0,8,1,1,0,0,0,1,0,1,1,1,986.0,473.0,3.0,0,0,66,1,1,0,0,1,0,1,0,1,0,1998.0,0,1,1,1,0,1,1160,9200,0,0,0,0,1,1,0,1,0
1857,1437,528.0,0,1976,1,2004,2,0,1437.0,0,1437,0,0,1,1,0,0,6,1,1,0,0,1,0,1,0,0,0,1157.0,0.0,2.0,1,1,21,1,0,0,0,1,0,1,0,1,0,1976.0,0,1,0,0,1,0,0,10768,0,1,0,0,0,1,0,0,0
1681,958,440.0,1,1976,0,1976,2,1,1078.0,0,958,0,0,1,0,0,0,5,1,1,0,0,1,0,0,1,0,0,120.0,0.0,2.0,1,1,205,1,0,0,0,1,0,1,0,1,0,1977.0,0,1,0,0,1,0,0,4928,0,0,0,0,0,1,0,1,0
2740,1488,569.0,1,1952,0,2002,1,1,0.0,0,1488,0,0,1,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0.0,232.0,2.0,0,0,189,1,1,0,0,1,0,1,0,1,0,2002.0,0,1,0,1,1,0,0,12048,0,0,0,0,0,1,0,0,0
243,1298,504.0,1,1964,0,1964,2,1,1250.0,0,1298,0,1,0,0,0,1,5,0,0,0,1,1,0,1,0,0,0,0.0,0.0,2.0,0,1,144,0,0,0,0,1,0,0,0,1,0,1964.0,0,1,0,0,0,0,0,11200,0,0,0,0,0,1,0,0,0
1335,1672,240.0,1,1940,0,1989,1,0,981.0,0,1014,0,1,1,1,0,1,6,0,0,0,1,1,0,0,0,0,0,521.0,0.0,1.0,0,1,11,1,1,0,1,1,0,1,0,1,0,1940.0,0,1,0,0,0,1,658,6000,0,0,0,0,0,0,0,1,0
2268,1312,471.0,0,2001,1,2001,2,0,1267.0,1,1312,1,0,0,1,1,1,5,1,0,1,0,0,0,0,1,1,1,250.0,86.0,2.0,0,0,28,1,0,0,0,1,0,1,0,1,256,2001.0,0,1,0,1,0,0,0,6718,0,0,0,0,0,1,0,0,0
1827,902,288.0,1,1967,0,1967,1,1,876.0,0,902,0,1,0,0,1,1,6,1,0,0,0,0,0,1,0,0,0,599.0,75.0,1.0,1,1,0,1,0,0,0,1,0,1,0,1,0,1967.0,0,1,0,1,0,0,0,6173,0,0,0,0,0,1,0,1,0
1676,1092,264.0,1,1973,0,1973,1,1,525.0,0,525,0,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,312.0,567.0,1.0,1,1,0,1,1,0,1,1,0,1,0,1,144,1973.0,0,1,0,1,0,1,567,2205,0,0,0,0,1,0,0,1,0
2327,1204,461.0,1,1987,0,1987,2,1,1191.0,0,1204,1,0,0,0,0,0,5,1,1,0,0,1,0,0,1,0,0,0.0,0.0,2.0,1,1,70,1,0,0,0,1,0,1,0,1,120,1987.0,0,1,0,0,1,0,0,3701,0,0,0,0,0,1,0,1,0
1566,1820,816.0,1,1996,0,1997,2,0,910.0,1,910,0,0,1,1,0,1,8,1,1,0,0,1,0,0,1,1,1,0.0,0.0,3.0,0,0,32,1,1,0,0,1,0,1,0,1,318,1996.0,1,1,0,0,0,1,910,11050,0,0,0,0,1,1,0,0,0
1359,1609,228.0,0,1910,1,1950,1,1,796.0,0,825,0,0,0,0,0,1,7,0,1,0,1,1,0,0,0,0,0,0.0,0.0,1.0,0,0,182,0,1,0,1,1,0,0,0,0,0,1910.0,0,1,0,0,0,0,784,4347,0,0,0,1,0,0,0,1,0
396,1180,477.0,1,1970,0,1970,1,1,1180.0,0,1180,0,1,0,0,0,0,6,1,0,0,0,1,0,1,1,0,0,0.0,0.0,2.0,1,1,45,1,0,0,0,1,0,1,0,1,0,1970.0,0,1,0,0,1,1,0,7830,0,0,0,0,0,1,0,1,0
1978,936,672.0,1,1980,0,1980,1,1,936.0,0,936,0,0,0,0,1,1,4,0,1,0,1,0,0,1,1,0,0,936.0,180.0,2.0,1,1,0,1,1,0,1,1,0,1,0,1,49,1980.0,0,1,0,1,0,0,0,7200,0,1,0,1,0,0,0,0,0
2454,2799,704.0,0,1993,1,1993,2,0,1286.0,1,1565,1,0,1,1,0,0,8,1,1,0,0,0,1,0,1,0,0,247.0,420.0,3.0,0,0,136,1,0,0,0,1,0,1,0,1,432,1993.0,0,1,1,1,0,1,1234,12585,0,0,0,0,1,1,0,1,0
2579,1092,299.0,1,1957,0,1957,1,1,1092.0,0,1092,0,1,1,0,0,0,6,1,0,0,0,1,1,1,1,0,0,895.0,0.0,1.0,1,1,0,1,0,0,0,1,0,1,0,1,268,1957.0,0,0,0,0,0,0,0,14850,0,0,0,0,0,1,0,1,0
363,1167,400.0,1,1992,0,1992,2,0,1158.0,1,1167,0,0,0,1,1,0,6,1,1,0,0,0,0,0,0,0,0,560.0,106.0,2.0,0,0,26,1,0,0,0,1,0,1,0,1,120,1992.0,0,1,0,1,1,0,0,9248,0,0,0,0,0,1,0,1,0
1033,2340,787.0,0,1996,1,1996,2,0,1236.0,1,1236,1,0,1,1,1,0,9,1,1,0,0,0,0,0,1,1,1,1023.0,402.0,3.0,0,0,180,1,0,0,0,1,0,1,0,1,192,1996.0,0,1,0,1,1,1,1104,14311,0,0,0,0,1,1,0,1,0
2707,1296,516.0,1,1967,0,1967,2,1,0.0,0,1296,0,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,0,0.0,0.0,2.0,1,0,0,1,1,0,0,1,1,1,0,1,0,1967.0,0,1,0,0,0,0,0,10791,0,0,0,0,0,1,0,0,0
307,1044,504.0,0,1952,0,1952,1,0,540.0,0,1044,0,1,0,0,0,1,4,0,0,0,0,1,0,1,1,0,0,0.0,0.0,2.0,1,1,0,0,1,0,0,0,0,1,0,1,0,1952.0,0,0,0,0,0,0,0,8712,0,0,0,0,0,0,0,0,1
